a.d.	(缩)公元
edify	v.陶冶，启发
efface	v.擦掉，抹去
effervesce	v.冒泡；热情洋溢
effete	a.无生产力；虚弱的
efficacious	a.有效的
efficacy	n.功效，有效性
effluvia	n.气味，恶臭；废料
effrontery	n.厚颜无耻
effulgent	a.灿烂的
egalitarian	a.主张人人平等的
egocentric	a.利己的
egotist	n.自私自利者
egregious	a.(缺点等)过分的，惊人的
egress	n.出去，出口
elaborate	a.精致的，复杂的；v.详尽地说明，阐明
elaboration	n.详细的细节，详尽阐述
elated	a.得意洋洋的，振奋的
elbow	n.肘
elegy	n.哀歌，挽歌
elementary	a.初级的
elephantine	a.笨拙的，庞大的
elevate	v.将…举起
elicit	v.引出，探出
eligible	a.合格的
eliminate	v.除去，淘汰
elite	n.精华，中坚
elliptical	a.椭圆的；晦涩的；省略的
elm	n.榆树
elocution	n.演说术
elongate	v.延长，伸长
eloquence	n.雄辩，精彩演讲
elucidate	v.阐明，说明
elude	v.逃避；搞不清
elusive	a.难懂的
emaciate	v.使…瘦弱；消瘦
emaciation	n.消瘦，衰弱
emanate	v.散发，发出，发源
emancipate	v.解放，解除
embargo	n.禁运令，封港令
embarrass	v.使忸怩，使难堪
embed	v.牢牢插入，嵌于
embellish	v.装饰，润饰
embezzlement	n.贪污，盗用
emblematic	a.作为象征的
embody	v.(作品等)表达，体现
embolden	v.鼓励
emboss	v.加浮雕花纹于，使凸出
embrace	v.拥抱；包含
embroider	v.刺绣，修饰
emend	v.订正，校订
emergency	n.紧急事件
emigrate	v.自本国移居他国
eminence	n.卓越，杰出
eminent	a.著名的，显著的
emissary	n.密使；特使
emit	v.放射(光、热、味等)
emollient	n.润肤剂
emote	v.激动地表达感情
empathy	n.心意相通，(感情等)融为一体
emphatic	a.重视的，强调的
empirical	a.经验的，实证的
empiricism	n.经验主义
empower	v.授权给某人采取行动
empyreal	a.天空的
emulate	v.努力赶上或超越
emulsify	v.使乳化
enact	v.制定(法律)；扮演(角色)
enamel	n.珐琅，瓷釉
enamored	a.珍爱的，喜爱的
encapsulate	v.装入胶囊；压缩
enchant	v.使迷醉；施魔法于
enclosure	n.圈地，围占
encomiast	n.赞美者
encomium	n.赞颂，颂辞
encompass	v.包围，围绕
encounter	v.遭遇
encroach	v.侵占，蚕食
encumber	v.妨害，阻碍
encyclopedia	n.百科全书
endearing	a.讨人喜欢的
endemic	a.地方性的
endorse	v.背书；赞同
endow	v.资助，捐助
endure	v.忍受，忍耐
enduring	a.持续的
enervate	v.使虚弱，使无力
enfeeble	v.使衰弱
enfetter	v.给…上脚镣；束缚，使受制于
enflame	v.使愤怒或激动
engaged	a.忙碌的，使用中的
engaging	a.迷人的，美丽动人的
engender	v.产生，引起
engrave	v.在(硬物)上雕刻
engross	v.全神贯注于
engulf	v.吞噬
enhance	v.提高，增加，改善
enjoin	v.命令，吩咐
enlighten	v.启发，开导，教导，授予…知识
enlightening	a.有启迪作用的；使人领悟的
enlist	v.(使)入伍从军，征募
enliven	v.使…更活跃
enmesh	v.通常被动)绊住，陷入网
enmity	n.敌意，仇恨
ennui	n.倦怠，无聊；v.使无聊
enormity	n.极恶；暴行；巨大
enormous	a.极大的，巨大的
enrage	v.激怒，触怒
enrapture	v.使狂喜，使高兴
ensconce	v.安置，安坐
ensemble	n.全体；大合唱
ensign	n.舰旗(船上表示所属国家的旗帜)
ensue	v.继而发生
ensure	v.确保，担保
entail	v.需要，需求，必须
entangle	v.使纠缠，卷入
enterprise	n.公司，事业单位；进取心
enthralling	a.迷人的，吸引人的
entice	v.怂恿，引诱
entirety	n.整体，全面
entitle	v.使有权(做某事)
entity	n.实体，统一体
entrance	v.使出神，使入迷
entrancing	a.使人入神的
entreat	v.恳求
entreaty	n.恳求，哀求
entrée	n.正餐前的开胃菜；获准进入的权利
entrepreneur	n.企业家，创业人
entrust	v.委托；托付
entry	n.条目；登录；报关手续；入口
enumerate	v.列举，枚举
enunciate	v.发音；(清楚地)表达
environ	v.包围，围绕
envision	v.想象，预想
enzyme	n.酵素，酶
epaulet	n.肩章，肩饰
ephemeral	a.朝生暮死的；生命短暂的
epic	n.叙事诗，史诗；a.英雄的；大规模的
epicure	n.美食家
epidemic	a.传染性的，流行性的
epidermis	n.表皮，外皮
epigram	n.讽刺短句，警句
epilogue	n.收场白；尾声
episodic	a.偶然发生的，分散性的
epitaph	n.墓志铭
epithet	n.(贬低人的)短语或形容词
epitome	n.典型；梗概
epitomize	v.概括，摘要
epoch	n.纪元；重大的事件
equable	a.稳定的，不变的；(脾气)温和的
equanimity	n.镇定，沉着
equate	v.认为…相等或相仿
equation	n.等式；等同，相等
equilibrium	n.平衡
equine	a.马的，似马的
equity	n.公平，公正
equivalent	a.相等的，等值的
equivocate	v.模棱两可地说，支吾其词，说谎
equivocation	n.模棱两可的话，含糊话
eradicate	v.根除；扑灭
erasure	n.擦掉，擦痕
erect	a.竖立的，笔直的，直立的
err	v.犯错误，出错
errand	n.差使；差事
erratic	a.反复无常的；古怪的
ersatz	a.代用的，假的
erstwhile	a.从前的，过去的
erudite	a.博学的，饱学的
erupt	v.爆发；喷出(熔岩、水、气体、泥浆等)
escalate	v.(战争等)升级；扩大，上升
escalation	n.逐步上升，逐步增强
escapism	n.逃避现实(的习气)
eschew	v.避开，戒绝
esophagus	n.食道，食管
esoteric	a.秘传的；神秘的
espionage	n.间谍活动
espousal	n.拥护，支持
espouse	v.支持，拥护
espy	v.(从远处等)突然看到
essential	a.本质的；n.要素，实质
estimable	a.值得尊敬的；可估计的
estranged	a.疏远的，分开的，分离的
etch	v.蚀刻)；铭记
etching	n.蚀刻术；蚀刻板画
eternal	a.永久的，永恒的
ethereal	a.太空；轻巧的
ethics	n.伦理学；道德规范
ethnic	a.种族的
ethnology	n.人种学，人类文化学
ethos	n.(个人、团体或民族)道德风貌，思潮，信仰
etiquette	n.礼仪；礼节
etymology	n.语源学
eucalyptus	n.桉树
eulogistic	a.颂扬的，歌功颂德的
eulogize	v.称赞，颂扬
eulogy	n.颂词，颂文
euphemism	n.婉言，委婉的说法
euphonious	a.悦耳的
euphoria	n.幸福愉快感
evacuate	v.撤退；撤离
evade	v.逃避；规避
evaluation	n.评价，评估
evanescent	a.迅速消失的，短暂的
evaporate	v.(使某物)蒸发掉
evasion	n.躲避，借口
evasive	a.迥避的，逃避的，托辞的
even	a.平的
evenhanded	a.公平的，不偏不倚的
evict	v.(依法)驱逐
eviction	n.(对房客或佃户的)驱逐
evince	v.表明，表示
evocative	a.唤起的，激起的
evoke	v.引起；唤起
evolve	v.使逐渐形成，进化
ewe	n.母羊
ewer	n.大口水罐
exacerbate	v.加重，恶化
exact	a.精确的；v.强求，强索付款
exacting	a.苛求的；要求严格的
exactitude	n.极端的正确性或精确性
exaggerate	v.夸张；夸大
exalt	v.(高度)赞扬，歌颂
exaltation	n.(成功带来的)得意，高兴
exasperate	v.激怒，使恼怒
excavate	v.挖掘；挖出
exceed	v.超过；超出
excel	v.善于，擅长于
exceptional	a.特别(好)的
excess	n.过分，过度
excise	v.切除，删去
excitability	n.易兴奋性，易激动性
exclaim	v.惊叫，呼喊
exclamation	n.惊叹词，惊呼
exclude	v.排斥；排除
exclusive	a.(人)孤僻的；(物)专用的
excoriate	v.撕去皮；严厉批评
excrete	v.排泄，分泌
exculpate	v.开脱，申明无罪
excursion	n.短途旅游
excursive	a.离题的，随意的
execrable	a.极坏的
execrate	v.憎恶；咒骂
execute	v.执行，履行；将某人处死
exemplary	a.可作楷模的
exemplify	v.是…的典型
exempt	a.被免除的；v.使免除
exert	v.运用(力量等)
exhale	v.呼出(气)
exhaust	n.(机器排出的)废气，蒸气；v.使非常疲倦
exhaustive	a.彻底的，无遗漏的
exhilarate	v.使高兴
exhilaration	n.高兴，活跃
exhort	v.力劝，勉励
exigent	a.需要立即采取行动的
existential	a.有关存在的，存在主义的
exodus	n.大批离去，成群外出
exonerate	v.免除责任；确定无罪
exorbitant	a.过分的，过度的
exorcise	v.驱魔；去除(坏念头等)
exotic	a.珍奇的；来自异国的
expand	v.扩大，膨胀
expansive	a.(指人)健谈的，开朗的；可扩大的，可伸展的
expediency	n.方便；权宜之计
expedient	n.权宜之计，临时手段；a.(指行动)有用的
expeditious	a.迅速的，敏捷的
expel	v.排出；开除
expend	v.花费；用光
expenditure	n.消耗，支出
expertise	n.专门技术，专业知识
expiate	v.赎罪，补偿
expiration	n.期满，终止
expire	v.期满；去世
explicate	v.详细解说
explicit	a.清楚明确的
exploit	v.剥削；开发利用；n.英勇行为
explosive	n.炸药；a.爆炸性的；使人冲动的
exponent	n.说明者，支持者；指数
exponentially	adv.指数地；迅速增长地
exposition	n.阐释；博览会
expository	a.说明的
expostulate	v.(对人或行为进行)抗议，告诫
exposure	n.暴露，显露，曝光
expound	v.解释；阐述
expressly	adv.清楚地；特意地
expunge	v.删除
expurgate	v.删除；使纯洁
exquisite	a.精致的；近乎完美的
extant	a.现存的，传世的
extemporaneous	a.即席的，没有准备的
extemporize	v.即席演说
extend	v.延展，延长
extenuate	v.掩饰(罪行)，减轻罪过
exterminate	v.消灭，灭绝
externalize	v.使…表面化
extinct	a.绝种的，不存在的
extinction	n.熄灭；消灭
extinguish	v.使…熄灭；使…不复存在
extirpation	n.根除，铲除
extol	v.赞美
extort	v.强索，敲诈
extract	v.拔出；强索
extraneous	a.外来的；无关的
extrapolate	v.预测，推测
extravagance	n.奢侈，挥霍
extremist	n.极端主义者
extricable	a.可解救的，能脱险的
extricate	v.拯救，救出
extrovert	n.性格外向者
exuberance	n.愉快；茁壮
exuberant	a.(人)充满活力的(植物)茂盛的
exude	v.使慢慢流出；四溢
exult	v.欢腾，喜悦
fabric	n.纺织品；结构
fabricate	v.捏造；制造
facade	n. 建筑物的正面；(虚伪)外表
facet	n.(宝石等的)小平面；侧面
facetious	a.轻浮的，好开玩笑的
facile	a.容易做的；肤浅的
facilitate	v.使容易，促进
facilities	n.(使事情便利的)设备、工具
faction	n.派系；派系斗争
factorable	a.能分解成因子的
factotum	n.杂役，听差
factual	a.真实的，事实的
faculty	n.全体教员；官能
fad	n.(流行一时的)狂热，时尚
faddish	a.流行一时的，时尚的
fade	v.褪色，消失，凋谢
falcon	n.猎鹰；隼
fallacious	a.欺骗的；谬误的
fallacy	n.谬误，错误
fallibility	n.易于出错，出错性
fallible	a.会犯错的，易犯错的
fallow	n.休耕地；a.(土地)休耕的
falsehood	n.谎言
falter	v.摇晃，蹒跚；支吾地说
familiarity	n.精通；亲近；不拘礼仪
famine	n.饥荒
famish	v.使饥饿
fanatic	n.狂热者
fang	n.(毒蛇的)尖牙
fantasy	n.想象，幻想
farce	n.闹剧；荒谬胡闹
farewell	interj.再会，再见；n.辞行，告别
far-reaching	a.影响深远的
fast	n.绝食，斋戒；adv.很快地，紧紧地
fasten	v.使…固定(to fix sth. firmly)
fastidious	a.难取悦的，挑剔的
fastness	n.要塞，城堡
fatal	a.致命的；灾难性的
fathom	n.英寻(量水深用，相当于1.83米)；v.彻底明白，了解
fatigue	n.疲乏，劳累
fatten	v.使长肥；使土壤肥沃；装满
fatuity	n.愚蠢，愚昧
fatuous	a.愚昧而不自知的
faucet	n.水龙头
fault	n.错误；(地质学)断层
faultfinder	n.喜欢挑剔的人
favorable	a.有利的；赞成的
fawn	n.未满周岁的小鹿；v.巴结，奉承
faze	v.使…狼狈，折磨
feasible	a.可行的，可能的
feat	n.功绩，壮举
feature	n.特色，特点，特征
feckless	a.无目标无计划的
fecundity	n.多产，富饶；繁殖力，生殖力
feeble	a.虚弱的
feedback	n.(信息的)反馈
feign	v.假装，伪装
feigned	a.假装的；不真诚的
feint	v.n.佯攻，佯击
felicitous	a.(话语等)适当的，得体的
fell	n.兽皮；v.砍伐；a.凶猛的，可怕的
felon	n.重罪犯
felony	n.重罪
feminist	n.女权运动者
fender	n.挡泥板；护舷的垫子等
feral	a.凶猛的，野的
ferment	v.n.(使)发酵；骚动
fermentation	n.发酵
fern	n.羊齿植物，蕨
ferret	n.雪貂；v.用雪貂猎取；搜寻
ferrous	a.含铁的
fertile	a.多产的；肥沃的
fertilize	v.受精，受粉；施肥
fervid	a.炽热的，热情的
fervor	n.热诚，热心
fester	v.(指伤口)溃烂，化脓
festive	a.欢乐的
fetid	a.有恶臭的
fetter	n.v.(带)脚镣；束缚
fetus	n.胎儿
feud	n.宿怨，不和
fiasco	n.大失败，惨败
fiat	n.命令
fickle	a.(爱情或友谊上)易变的，不坚定的
fictitious	a.假的；虚构的
fidget	v.坐立不安；n.烦躁之人
fig	n.无花果；一点儿
figment	n.虚构的东西
figurative	a.比喻的，借喻的
figurehead	n.名义领袖；傀儡
figurine	n.小塑像，小雕像
file	n.锉刀；v.锉平
filibuster	v.n.妨碍议事，阻挠
filigree	n.金银丝做的工艺品
filings	n.锉屑
filly	n.小母马
filter	n.滤纸；v.过滤
filth	n.肮脏；粗语
finale	n.最后，最终；乐曲的最后部分
finesse	n.技巧；计谋；手段
finicky	a.苛求的，过分讲究的
finite	a.有限的
firearm	n.(便携式)枪支
firefly	n.萤火虫
fiscal	a.国库的，财政的
fissure	n.裂缝，裂隙
fixate	v.使固定，使不变；注视，凝视
flaccid	a.松弛的；软弱的
flag	v.减弱，衰退；枯萎
flagging	a.下垂的；衰弱的
flaggy	a.枯萎的；松软无力的
flagrant	a.臭的，恶名昭彰的
flail	n.连枷(打谷工具)；v.打，打击
flak	n.高射炮；指责
flamboyant	a.艳丽的，炫耀的
flammable	a.易燃的
flange	n.(火车车轮的)凸缘，轮缘
flare	n.v.(火焰)摇曳，闪耀
flask	n.烧瓶，细颈瓶
flatcar	n.平台型铁路货车
flatten	v.变平；彻底打败某人
flatter	v.恭维，奉承
flaunt	v.炫耀；张扬
flaunty	a.炫耀的，张扬的
flaw	n.瑕疵；v.生裂缝；有瑕疵
flax	n.亚麻
fledge	v.小鸟长飞羽，变得羽毛丰满
fledgling	n.正在学习飞行的幼鸟；无经验的人
fleeting	a.短暂的，飞逝的
flexible	a.易弯曲的，灵活的
flight	n.飞行，飞翔；逃跑
flimsy	a.轻而薄的；脆弱的
flinch	v.畏缩，退缩
flint	n.打火石，燧石
flip	v.用指轻弹；蹦跳；a.无礼的
flippant	a.无礼的；轻率的
flirt	v.挑逗，调戏
flit	v.掠过，迅速飞过
flock	n.羊群；鸟群
floodgate	n.(水闸的)闸门
flora	n.(某地区或时代的)植物群
florid	a.华丽的；(脸)红润的
flounder	v.挣扎；艰苦地移动；n.比目鱼
flourish	v.昌盛，兴旺；活跃而有影响
flout	v.蔑视，违抗
fluctuate	v.波动；变化
fluffy	a.有绒毛的；空洞的
fluke	n.侥幸；意想不到的事
fluorescent	a.萤光的，发光的
flush	n.v.脸红；奔流；冲洗
flustered	a.慌张的
flutter	v.拍翅
fluvial	a.河流的，生长在河中的
flux	n.不断的变动，动荡不定
foible	n.小缺点，小毛病
foil	n.钝剑；箔，锡箔纸
fold	n.羊栏，畜栏；v.折叠
folder	n.文件夹，纸夹
folklore	n.民间传说；民俗学
folly	n.愚蠢；愚蠢的行为，思想或做法
foment	v.煽动，助长(坏事)
foodstuff	n.食料，食品
foolproof	a.容易懂的，简易而不会误用的
foppish	a.浮华的，俗丽的
forage	n.(牛马的)饲料，粮草；v.搜寻，翻寻
forager	n.强征(粮食)者，抢劫者；粮草征发员；成散开横队的骑兵
forbearance	n.自制，忍耐
forbid	v.不许，禁止；妨碍，阻止
forbidding	a.(表情)冷峻的；形势险恶的
ford	n.浅滩，水浅可涉处；v.涉水
forebode	v.预感，凶兆
forecast	v.预报，预测；n.预测
foreknowledge	n.预知
forerunner	n.预兆，前兆；先驱
foreshadow	v.预示
foresight	n.远见，深谋远虑
forestall	v.先发制人，预先阻止
forestry	n.森林学；林产；林地
forfeit	v.丧失，被罚没收；n.丧失物
forge	n.铁匠铺；v.锤炼；伪造
forger	n.伪造者；打铁匠
forgery	n.伪造(物)
forgo	v.放弃，抛弃
formality	n.遵循的规范；拘泥形式；正式
formation	n.组织，形成；(军队)编队
formidable	a.可怕的；困难的
formula	n.分子式；公式；套语，惯用语
forsake	v.遗弃，放弃
forte	n.长处，擅长；a.(音乐)强音的
forthright	a.直率的
fortify	v.加强防卫
fortitude	n.坚毅，坚韧不拔
fortuitous	a.偶然的，意外的；幸运的
forum	n.辩论的场所，讲坛
forward	a.过激的，莽撞的
fosse	n.护城河
fossilize	v.使…成为化石；使…过时
foster	v.培养，鼓励；领养
foul	a.恶臭的；邪恶的；v.弄脏；n.(体育等)犯规
founder	v.(船)沉没；(计划)失败
four-poster	n.有四柱的床
foyer	n.门厅，休息室
fracas	n.喧嚷，吵闹
fraction	n.碎片；小部分
fractious	a.(脾气)易怒的，好争吵的
fracture	n.骨折；折断；裂口
fragile	a.易碎的，易坏的
fragment	n.碎片；分裂
fragrance	n.香料；香味
fragrant	a.芳香的；愉快的
frail	a.脆弱的；不坚实的
frantic	a.疯狂的，狂乱的
fraud	n.欺诈，欺骗；骗子
fraudulent	a.欺骗的，不诚实的
fraught	a.充满…的
freckle	n.雀斑，斑点
freelancer	n.自由职业者
freight	n.货物；v.装货于(船等)
frenetic	a.狂乱的，发狂的
frenzy	n.极度激动的状态，狂暴
frequency	n.频率
frequent	v.时常来访；a.惯常的
fresco	n.壁画
fret	n.v.(使)烦躁，焦虑
friable	a.易碎的
friction	n.摩擦；矛盾，冲突
frieze	n.(在墙顶与天花板间起装饰作用的)横条，饰带
frigid	a.寒冷的；死板的
frigidity	n.寒冷；冷淡
fringe	n.(窗帘等)须边；边缘
frisky	a.活泼的，快活的
frivolous	a.轻薄的，轻佻的
frond	n.羊齿、棕榈等的叶子
frothy	a.起泡的；空洞的
frugal	a.节约的，节俭的
fruition	n.实现，完成
frustrate	v.挫折，使沮丧
fulcrum	n.杠杆支点，支柱
fulfil	v.履行；满足，符合
full-blown	a.(鲜花)盛开的
full-bodied	a.(味道等)浓郁而强烈的
full-fledged	a.羽毛丰满的；成熟的
fulminate	v.猛烈抨击，严厉谴责
fulsome	a.虚情假意的；充足的
fumble	v.摸索，笨拙搜寻；弄乱，搞糟
fume	v.n.愤怒；冒烟
fumigate	v.以烟熏消毒
functional	a.起作用的，能运转的；实用的
functionary	n.小官，低级公务员
fundamental	a.最根本的，基本的；十分重要的
fungi	n.菌类，蘑菇
fungicide	n.杀真菌剂
furnace	n.锅炉
furor	n.轰动；盛怒
furrow	n.犁沟；皱纹
furtive	a. 偷偷的，秘密的
fusillade	n.v. (枪炮)齐射，连发
fusion	n.熔合；聚变
fuss	n.大惊小怪
fussy	a.爱挑剔的
fusty	a.陈腐的，霉臭的
futile	a.无效的，无用的;（人）没出息的；琐细的
futility	n.无用，无益
gadfly	n.虻，牛虻；讨厌的人
gadget	n.小工具，小机械
gaffe	n.(社交上令人不快的)失言，失态
gaggle	n.鹅群
gainsay	v.否认
gait	n.步法，步态
galaxy	n.(银河)星群；显赫的人群
gall	n.胆汁；怨恨
gallant	a.勇敢的；(向女人)献殷勤的
galley	n.船上的厨房
galvanize	v.电镀；通电；激励
gamble	v.n.赌博；孤注一掷
gambol	n.v.雀跃；嬉戏
gangway	n.(上下船的)跳板
gape	v.裂开；目瞪口呆地凝视
garble	v.曲解，窜改
garbled	a.引起误解的；窜改的
gardenia	n.栀子花
gargantuan	a.巨大的，庞大的
gargoyle	n.(雕刻成怪兽状的)滴水嘴；面貌丑恶的人
garish	a.俗丽的，过于艳丽的
garment	n.衣服
garner	v.收藏，积累
garnish	v.装饰
garrulity	n.唠叨，饶舌
garrulous	a.唠叨的，多话的
gaseous	a.似气体的
gash	n.深长的伤口，裂缝
gasification	n.气化
gaucherie	n.笨拙
gaudy	a.俗丽的
gauge	n.标准规格；测量仪；v.测量
gavel	n.(法官所用的)槌，小木槌
gazetteer	n.地名词典，地名表
gear	n.齿轮；装备；仪器
gem	n.宝石，珠宝；精华
gene	n.基因
genealogy	n.家谱学
generality	n.概述
generalize	v.归纳
generate	v.造成；产生
generation	n.一代人；(产品类型的)代；产生，发生
generic	a.种类的，类属的
genesis	n.创始，起源
genetic	a.遗传的；起源的
genetics	n.遗传学
genial	a.愉快的，脾气好的
genome	n.基因组，染色体组
genre	n.(文艺的)类型
genteel	a.上流社会的；装作彬彬有礼的
gentle	a.温和的，慈祥的
gentry	n.绅士，上等人
genuine	a.真的；真诚的
genus	n.(动植物的)属
geometrician	n.几何学家
germ	n.胚芽，芽孢；微生物，细菌
germane	a.有密切关系的；贴切的
germicide	n.杀菌剂
germinate	v.发芽；发展
gerontocracy	n.老人统治的政府
gerontology	n.老人病学
gerrymander	v.(为使某政党在选举中取得优势)不公正地将(某地区)划成选区
geyser	n.天然热喷泉
gibe	n.v.嘲弄，讥笑
giddy	a.轻浮的，不严肃的
giggle	v.咯咯笑
gild	v.镀金；虚饰
gimmick	n.吸引人的花招，噱头
ginger	n.姜；活力
gingerly	adj.adv.小心的(地)；谨慎的(地)
girder	n.大梁
girth	n.腰身；周长
gist	n.要点，要旨
glacial	a.冰期的，冰河期的；寒冷的
glade	n.林中的空地
gladiator	n.角斗士，与野兽搏斗者
glance	v.n.一瞥
glare	v.发出眩目光芒；怒目而视
glaze	v.装玻璃于；上釉彩；n.釉
glean	v.拾落穗；收集(材料等)
glib	a.流利圆滑的，善辩的
glide	v.滑行，滑动
glimmer	v.发微光；n.摇曳的微光
glisten	v.闪烁，闪耀
glitch	n.小故障
gloat	v.幸灾乐祸地看，窃喜
gloom	n.黑暗；忧郁
gloomy	a.阴暗的；没有希望的；阴郁的
gloss	n.光泽；注解
glossary	n.词汇表；难词表
glossy	a.光泽的，光滑的
glow	v.n.光亮，发热；(脸)红
glower	v.怒目而视
glowing	a.热情赞扬的
glucose	n.葡萄糖
glut	v.n.过多；供过于求
glutinous	a.粘的，胶状的
gluttonous	a.贪吃的，贪嘴的
gnarled	a.(树木)多节的；粗糙的
goad	n.赶牛棒；v.n.刺激，激励
gobble	v.贪婪地吃，吞没
goblet	n.高脚酒杯
goldbrick	v.逃避责任，偷懒
gong	n.锣
goodwill	n.友好
gorge	n.峡谷
gospel	n.教义，信条
gossamer	n.蛛丝；薄纱；a.轻而薄的
gouge	n.半圆凿；v.挖出；敲竹杠
gourmand	n.嗜食者
gourmet	n.美食家
grace	n.优美
gracious	a.大方的，和善的；奢华的
gradation	n.渐变；阶段，等级
graduated	a.按等级(高度，困难等)分的
graft	v.n.嫁接；贪污
grain	n.谷物；小的硬粒
grandeur	n.壮丽，伟大
grandiose	a.宏伟的；夸大的
grandstand	n.大看台；v.哗众取宠
grant	v.同意给予
graphic	a.图表的；生动的
graphite	n.石墨
grasping	a.贪心的，贪婪的
grate	v.发出“吱嘎”声；磨碎；使人烦躁
grateful	a.感激的
gratification	n.满足，喜悦
gratify	v.使高兴，使满足
grating	a.(声音)刺耳的；恼人的
gratitude	n.感激
gratuitous	a.无缘无故的；免费的
gratuity	n.赏钱，小费
grave	a.严峻的；n.墓穴
gravel	n.碎石，砂砾
gravitational	a.万有引力的
gravity	n.严肃，正经
graze	v.(动物)吃(地上长的)草；放牧
grease	n.(炼出的)动物油脂；滑脂
green	a.新鲜的，未成熟的，无经验的
greenhouse	n.花房，温室
gregarious	a.群居的；爱社交的
gregariousness	n.群居；合群
grenade	n.手榴弹
grief	n.忧伤，悲伤
grievance	n.委屈，抱怨
grieve	v.使某人极为悲伤
grievous	a.严重伤害的
grill	v.烤；拷问；n.烤架
grim	a.冷酷的，可怕的
grimace	v.n.做鬼脸，面部歪扭
grind	n.枯燥乏味的工作；v.磨碎，碾碎
gripe	v.抱怨
gripping	a.紧紧抓住注意力的
grisly	a.恐怖的，可怕的
gristle	n.软骨；肉中难吃的硬组织
grit	n.沙粒；决心，勇气；v.下定决心，咬紧牙关
groan	v.n.呻吟，叹息
groom	n.马夫；新郎
groove	n.凹线；(刻出的)线条；习惯
gross	a.总的；粗野的；n.整个，全部
grotto	n.洞穴
grouch	n.牢骚，不满
grounded	a.有理由的；adv.地面上
group	v.使…集合；n.群，集
grouse	n.松鸡；v.牢骚，诉苦
grove	n.小树林，树丛
grovel	v.摇尾乞怜，奴颜婢膝
grueling	a.繁重而累人的
grumble	v.喃喃诉苦，发怨言
guarantee	v.保证，担保
guffaw	n.v.哄笑，大笑
guile	n.欺诈，狡猾
guileless	a.厚道的，老实的
guillotine	n.断头台
guilt	n.罪行；内疚
guilty	a.有罪的
guise	n.外观，装束
gullible	a.易受骗的
gully	n.雨水冲成的沟壑
gulp	v.吞食，咽下
gum	n.树胶，橡皮
guru	n.古鲁(印度的宗教领袖)；(受尊敬的)教师或权威
gush	v.涌出；滔滔不绝地说
gusher	n.滔滔不绝的说话者；喷油井
gust	n.阵风；一阵(情绪)
gustation	n.品尝；味觉
gustatory	a.味觉的，品尝的
gutter	n.水槽；街沟
guy	n.(铁塔等的)支索，牵索
guzzle	v.大吃大喝
gyrate	a.旋转的；v.旋转
habitat	n.自然环境，栖息地
habituate	v.使习惯于
hack	v.乱劈，乱砍；n.雇佣文人
hackneyed	a.陈腐的，平常的
hail	n.冰雹；v.致敬
halcyon	a.平静的；愉快的
hale	a.健壮的，矍铄的
halfhearted	a.不认真的，不热心的
hallmark	n.(在金银上的)纯度印记；特征
hallow	v.把…视为神圣，尊敬
hallowed	a.神圣的
hallucination	n.幻觉，幻视
halo	n.(日、月等)晕，神像之光环
halting	a.踌躇的，吞吞吐吐的
hammer	n.锤子，槌
hamper	v.妨碍，阻挠；n.有盖提篮
handle	n.柄，把手；v.处理
hangar	n.飞机库
hangdog	a.忧愁的；低贱的
hankering	n.渴望
haphazard	a.任意的
harangue	n.长篇指责性演说
harass	v.侵扰，烦忧
harbinger	n.先驱，先兆
harbor	n.港，避难所；v.包庇，隐匿
harden	v.变硬，变坚强
hardheaded	a.(商业上)现实的，精明的
hardy	a.耐寒的；强壮的
harmony	n.相符，一致；协调，匀称
harness	n.马具；v.束以马具；利用
harp	n.竖琴；v.喋喋不休地说或写
harpsichord	n.键琴(钢琴前身)
harridan	n.凶恶的老妇，老巫婆
harrow	n.耙；v.使痛苦
harrowing	a.悲痛的，难受的
harry	v.掠夺，袭扰，折磨
harsh	a.严厉的；粗糙的；刺耳的
harshly	adv.严酷地，无情地
hasten	v.催促，促进
hasty	a.急急忙忙的
hatch	n.船舱盖；v.孵化
haughty	a.傲慢的，自大的
haunt	v.常去；鬼魂出没；(事情)萦绕心头；n.常去的地方
hauteur	n.傲慢
haven	n.安息所，避难所
havoc	n.大破坏，混乱
hawk	n.隼，鹰
hazardous	a.危险的
headlong	adj.adv.轻率的(地)，迅猛的(地)
headstrong	a.刚愎自用的
headway	n.进步，进展
heal	v.治愈
hearken	v.倾听
hearten	v.鼓励，激励
heartrending	a.令人心碎的
heavy-handedness	n.笨拙，粗劣
heckle	v.诘问，困扰
hectic	a.兴奋的；繁忙的
hector	v.凌辱，威吓
hedge	n.树篱；限制
hedonist	n.享乐主义者
heed	v.注意，留心；n.关心
hegemony	n.霸权，领导权
heinous	a.十恶不赦的
heirloom	n.传家宝
helmet	n.头盔，钢盔
hem	v.包围；n.袖边，边缘；interj.吞吞吐吐地说
hemisphere	n.半球
hemophilia	n.血友病，出血不止
hemorrhage	n.出血(尤指大出血)
hemostat	n.止血器；止血剂
herbaceous	a.草本植物的
herbicide	n.除草剂
herbivorous	a.食草的
herd	n.兽群；v.聚集
hereditary	a.祖传的，世袭的
heresy	n.异端邪说
heretic	n.异教徒
heretical	a.异端邪说的
hermetic	a.密封的；深奥的
hermit	n.隐士，修道者
herpetologist	n.爬行动物学家
heterodox	a.异端的，非正统的
heterogeneous	a.异类的，不同的
hew	v.砍伐；遵守
hexagon	n.六角形，六边形
hiatus	n.空隙，裂缝
hibernate	v.冬眠，蛰伏
hide	n.兽皮
